index,home_team,away_team,id,market,competition_name,prediction,competition_cluster,status,federation,is_expired,season,result,start_date,last_update_at,odds
0,Pomorie,Strumska Slava Radomir,40586,classic,Second PFL,1X,Bulgaria,lost,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T12:30:00,2018-12-01T12:15:21.956000,"{'1': 1.975, 'X': 3.11, '2': 3.18, '1X': 1.26, 'X2': 1.625, '12': 1.27}"
1,FC Koln,Greuther Furth,40101,classic,2. Bundesliga,1,Germany,won,UEFA,TRUE,2018 - 2019,4 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.367, 'X': 4.834, '2': 7.38, '1X': 1.081, 'X2': 2.951, '12': 1.146}"
2,Sankt Pauli,Dynamo Dresden,40103,classic,2. Bundesliga,1X,Germany,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.96, 'X': 3.334, '2': 3.804, '1X': 1.249, 'X2': 1.77, '12': 1.286}"
3,Sloboda Tuzla,Mladost Doboj Kakanj,40154,classic,Premier League,12,Bosnia and Herzegovina,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.908, 'X': 3.283, '2': 3.515, '1X': 1.25, 'X2': 1.75, '12': 1.275}"
4,Mornar Bar,Zeta Golubovci,40184,classic,Prva Liga,2,Montenegro,lost,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 3.827, 'X': 2.96, '2': 1.92, '1X': 1.713, 'X2': 1.2, '12': 1.317}"
5,Sutjeska Niksic,Grbalj Radanovici,40187,classic,Prva Liga,1X,Montenegro,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.79, 'X': 2.91, '2': 4.05, '1X': 1.18, 'X2': 1.69, '12': 1.28}"
6,Sheffield United,Leeds,40062,classic,Championship,12,England,won,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T12:30:00,2018-12-01T12:15:21.956000,"{'1': 2.297, 'X': 3.384, '2': 3.097, '1X': 1.354, 'X2': 1.59, '12': 1.29}"
7,Grenoble Foot 38,Metz,40095,classic,Ligue 2,1X,France,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.607, 'X': 2.884, '2': 2.824, '1X': 1.397, 'X2': 1.456, '12': 1.353}"
8,Preussen Munster,Hallescher,40108,classic,3. Liga,1X,Germany,lost,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.556, 'X': 3.163, '2': 2.639, '1X': 1.441, 'X2': 1.47, '12': 1.287}"
9,Botev Plovdiv,Beroe Stara Zagora,40158,classic,First PFL,12,Bulgaria,won,UEFA,TRUE,2018 - 2019,04-Jan,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.589, 'X': 3.157, '2': 2.529, '1X': 1.464, 'X2': 1.451, '12': 1.296}"
10,Platanias FC,AO Trikala,40171,classic,Football League,1,Greece,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 1.646, 'X': 3.35, '2': 4.83, '1X': 1.143, 'X2': 2.06, '12': 1.26}"
11,Warta Poznan,Puszcza Niepolomice,40200,classic,First League,12,Poland,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 3.029, 'X': 2.974, '2': 2.345, '1X': 1.53, 'X2': 1.335, '12': 1.327}"
12,FC Nitra,FK Senica,40242,classic,Superliga,1,Slovakia,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T13:00:00,2018-12-01T09:16:17.282000,"{'1': 1.705, 'X': 3.568, '2': 4.2, '1X': 1.183, 'X2': 1.997, '12': 1.228}"
13,Antalyaspor,Goztepe,40252,classic,Super Lig,1X,Turkey,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.454, 'X': 3.197, '2': 2.901, '1X': 1.39, 'X2': 1.521, '12': 1.293}"
14,Balikesirspor,Denizlispor,40257,classic,TFF First League,12,Turkey,lost,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.567, 'X': 3.332, '2': 2.548, '1X': 1.473, 'X2': 1.454, '12': 1.283}"
15,Sion,Luzern,40249,classic,Swiss Super League,12,Switzerland,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T18:00:00,2018-12-01T15:13:15.273000,"{'1': 2.147, 'X': 3.539, '2': 3.029, '1X': 1.36, 'X2': 1.637, '12': 1.259}"
16,Zulte Waregem,Oostende,40150,classic,First Division A,1,Belgium,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T19:00:00,2018-12-01T15:13:15.273000,"{'1': 1.699, 'X': 3.989, '2': 4.377, '1X': 1.193, 'X2': 2.099, '12': 1.216}"
17,Szombathelyi Haladas,Diosgyori,40175,classic,NB I,1X,Hungary,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 1.982, 'X': 3.348, '2': 3.542, '1X': 1.268, 'X2': 1.742, '12': 1.272}"
18,Apollon Smyrni,Atromitos Athens,40168,classic,Super League,2,Greece,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 5.543, 'X': 3.197, '2': 1.727, '1X': 2.016, 'X2': 1.133, '12': 1.303}"
19,SPAL,Empoli,40111,classic,Serie A,12,Italy,lost,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.406, 'X': 3.247, '2': 3.017, '1X': 1.374, 'X2': 1.556, '12': 1.311}"
20,Cremonese,Crotone,40116,classic,Serie B,1X,Italy,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.397, 'X': 2.953, '2': 3.07, '1X': 1.341, 'X2': 1.523, '12': 1.336}"
21,NK Osijek,HNK Rijeka,40160,classic,Prva HNL,1X,Croatia,lost,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.471, 'X': 3.146, '2': 2.743, '1X': 1.415, 'X2': 1.468, '12': 1.308}"
22,Chrobry Glogow,Wigry Suwalki,40201,classic,First League,1X,Poland,lost,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 2.181, 'X': 3.151, '2': 3.153, '1X': 1.316, 'X2': 1.609, '12': 1.3}"
23,Istanbul Basaksehir,Sivasspor,40253,classic,Super Lig,1,Turkey,lost,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 1.509, 'X': 4.044, '2': 6.423, '1X': 1.104, 'X2': 2.461, '12': 1.199}"
24,SP Tre Penne,SS Virtus,40596,classic,Campionato Sammarinese,1,San Marino,won,UEFA,TRUE,2018 - 2019,04-Jan,2018-12-01T14:00:00,2018-12-01T12:15:21.956000,"{'1': 1.125, 'X': 7.5, '2': 11.5, '1X': None, 'X2': None, '12': None}"
25,Leicester,Watford,40058,classic,Premier League,1X,England,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.223, 'X': 3.287, '2': 3.43, '1X': 1.309, 'X2': 1.659, '12': 1.317}"
26,Birmingham,Preston,40063,classic,Championship,1X,England,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.347, 'X': 3.201, '2': 3.12, '1X': 1.346, 'X2': 1.569, '12': 1.316}"
27,Norwich,Rotherham,40067,classic,Championship,1,England,won,UEFA,TRUE,2018 - 2019,03-Jan,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.419, 'X': 4.517, '2': 7.909, '1X': 1.077, 'X2': 2.794, '12': 1.174}"
28,Queens Park Rangers,Hull City,40069,classic,Championship,12,England,won,UEFA,TRUE,2018 - 2019,02-Mar,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.919, 'X': 3.403, '2': 4.216, '1X': 1.21, 'X2': 1.854, '12': 1.287}"
29,Eastleigh,Dover Athletic,40074,classic,National League,1X,England,won,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.886, 'X': 3.313, '2': 3.941, '1X': 1.226, 'X2': 1.824, '12': 1.277}"
30,Werder Bremen,Bayern Munchen,40099,classic,Bundesliga,2,Germany,won,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T14:30:00,2018-12-01T12:15:21.956000,"{'1': 7.211, 'X': 5.05, '2': 1.396, '1X': 2.951, 'X2': 1.096, '12': 1.147}"
31,Ballymena United,Linfield,40193,classic,NIFL Premiership,2,Northern Ireland,lost,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 3.404, 'X': 3.506, '2': 1.927, '1X': 1.764, 'X2': 1.266, '12': 1.25}"
32,Cliftonville,Dungannon Swifts,40194,classic,NIFL Premiership,1,Northern Ireland,won,UEFA,TRUE,2018 - 2019,05-Jan,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.531, 'X': 3.986, '2': 5.124, '1X': 1.128, 'X2': 2.26, '12': 1.208}"
33,Glenavon,Institute,40195,classic,NIFL Premiership,1,Northern Ireland,lost,UEFA,TRUE,2018 - 2019,03-Mar,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.3, 'X': 5.01, '2': 7.789, '1X': 1.063, 'X2': 3.114, '12': 1.121}"
34,Queen of the South,Partick Thistle,40224,classic,Championship,12,Scotland,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.092, 'X': 3.492, '2': 3.112, '1X': 1.325, 'X2': 1.647, '12': 1.255}"
35,Dumbarton,Brechin City,40226,classic,League One,12,Scotland,won,UEFA,TRUE,2018 - 2019,04-Jan,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.06, 'X': 3.436, '2': 3.164, '1X': 1.31, 'X2': 1.676, '12': 1.256}"
36,Stirling Albion,Elgin City,40234,classic,League Two,12,Scotland,won,UEFA,TRUE,2018 - 2019,05-Feb,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.273, 'X': 3.372, '2': 2.82, '1X': 1.373, 'X2': 1.543, '12': 1.273}"
37,Blackburn,Sheffield Wednesday,40064,classic,Championship,12,England,won,UEFA,TRUE,2018 - 2019,04-Feb,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.926, 'X': 3.496, '2': 4.034, '1X': 1.234, 'X2': 1.847, '12': 1.266}"
38,Fylde,Sutton United,40075,classic,National League,1X,England,won,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 2.049, 'X': 3.211, '2': 3.453, '1X': 1.27, 'X2': 1.693, '12': 1.296}"
39,Leyton Orient,Gateshead,40077,classic,National League,1,England,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 1.707, 'X': 3.557, '2': 4.539, '1X': 1.174, 'X2': 2.029, '12': 1.246}"
40,Lille,Lyonnais,40090,classic,Ligue 1,1X,France,won,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 2.706, 'X': 3.387, '2': 2.56, '1X': 1.501, 'X2': 1.454, '12': 1.287}"
41,Valladolid,Leganes,40129,classic,Primera Division,1X,Spain,lost,UEFA,TRUE,2018 - 2019,02-Apr,2018-12-01T15:15:00,2018-12-01T15:13:15.273000,"{'1': 2.367, 'X': 3.01, '2': 3.407, '1X': 1.312, 'X2': 1.578, '12': 1.372}"
42,Deportivo Fabril,Real Madrid Castilla,40132,classic,Segunda Division B Group 1,12,Spain,won,UEFA,TRUE,2018 - 2019,04-Mar,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 2.818, 'X': 3.162, '2': 2.316, '1X': 1.508, 'X2': 1.36, '12': 1.294}"
43,Austria Wien,Sankt Polten,40143,classic,Bundesliga,1,Austria,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 1.756, 'X': 3.637, '2': 4.327, '1X': 1.2, 'X2': 1.993, '12': 1.237}"
44,Westerlo,Roeselare,40152,classic,First Division B,12,Belgium,won,UEFA,TRUE,2018 - Second Stage,2 - 0,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 1.942, 'X': 3.393, '2': 3.528, '1X': 1.258, 'X2': 1.775, '12': 1.265}"
45,Levski Sofia,Dunav Ruse,40159,classic,First PFL,1,Bulgaria,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T15:30:00,2018-12-01T15:13:15.273000,"{'1': 1.131, 'X': 6.889, '2': 14.626, '1X': 1.023, 'X2': 4.657, '12': 1.067}"
46,Larissa,Panionios,40167,classic,Super League,1X,Greece,won,UEFA,TRUE,2018 - 2019,04-Feb,2018-12-01T15:15:00,2018-12-01T15:13:15.273000,"{'1': 2.406, 'X': 2.826, '2': 3.283, '1X': 1.314, 'X2': 1.516, '12': 1.371}"
47,MTK Budapest,Debreceni,40174,classic,NB I,1X,Hungary,lost,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 2.335, 'X': 3.287, '2': 2.82, '1X': 1.392, 'X2': 1.543, '12': 1.273}"
48,Glentoran,Crusaders,40196,classic,NIFL Premiership,2,Northern Ireland,lost,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T15:00:00,2018-12-01T12:15:21.956000,"{'1': 4.57, 'X': 3.829, '2': 1.609, '1X': 2.108, 'X2': 1.154, '12': 1.214}"
49,Maritimo,Vitoria Setubal,40205,classic,Primeira Liga,1X,Portugal,lost,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T15:30:00,2018-12-01T15:13:15.273000,"{'1': 2.348, 'X': 3.1, '2': 3.088, '1X': 1.347, 'X2': 1.55, '12': 1.332}"
50,Fiorentina,Juventus,40112,classic,Serie A,2,Italy,won,UEFA,TRUE,2018 - 2019,0 - 3,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 5.674, 'X': 3.769, '2': 1.631, '1X': 2.234, 'X2': 1.143, '12': 1.241}"
51,Charleroi,Cercle Brugge,40148,classic,First Division A,1,Belgium,won,UEFA,TRUE,2018 - 2019,03-Jan,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 1.611, 'X': 3.881, '2': 5.201, '1X': 1.147, 'X2': 2.224, '12': 1.223}"
52,Rudes Zagreb,Hajduk Split,40161,classic,Prva HNL,2,Croatia,won,UEFA,TRUE,2018 - 2019,01-Apr,2018-12-01T16:30:00,2018-12-01T15:13:15.273000,"{'1': 10.827, 'X': 5.27, '2': 1.239, '1X': 3.6, 'X2': 1.038, '12': 1.115}"
53,FC Slovacko,Sparta Prague,40165,classic,First League,2,Czech Republic,lost,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 4.38, 'X': 3.342, '2': 1.803, '1X': 1.915, 'X2': 1.19, '12': 1.277}"
54,M.S. Ashdod,Ironi Kiryat Shmona,40178,classic,Premier League,2,Israel,lost,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T16:15:00,2018-12-01T15:13:15.273000,"{'1': 3.49, 'X': 3.036, '2': 2.038, '1X': 1.668, 'X2': 1.258, '12': 1.31}"
55,NK Domzale,NK Maribor,40247,classic,1. SNL,2,Slovenia,won,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T16:15:00,2018-12-01T15:13:15.273000,"{'1': 3.24, 'X': 3.621, '2': 1.911, '1X': 1.761, 'X2': 1.297, '12': 1.22}"
56,Kriens,Winterthur,40251,classic,Challenge League,12,Switzerland,won,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T16:30:00,2018-12-01T15:13:15.273000,"{'1': 2.477, 'X': 3.504, '2': 2.48, '1X': 1.476, 'X2': 1.48, '12': 1.247}"
57,Kayserispor,Trabzonspor,40254,classic,Super Lig,2,Turkey,won,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T16:00:00,2018-12-01T15:13:15.273000,"{'1': 3.31, 'X': 3.53, '2': 2.079, '1X': 1.704, 'X2': 1.303, '12': 1.256}"
58,Real Madrid,Valencia,40131,classic,Primera Division,1,Spain,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T19:45:00,2018-12-01T15:13:15.273000,"{'1': 1.542, 'X': 4.307, '2': 5.942, '1X': 1.133, 'X2': 2.462, '12': 1.197}"
59,Southampton,Manchester United,40061,classic,Premier League,2,England,lost,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T17:30:00,2018-12-01T15:13:15.273000,"{'1': 4.133, 'X': 3.507, '2': 1.934, '1X': 1.856, 'X2': 1.237, '12': 1.284}"
60,Middlesbrough,Aston Villa,40071,classic,Championship,12,England,won,UEFA,TRUE,2018 - 2019,0 - 3,2018-12-01T17:30:00,2018-12-01T15:13:15.273000,"{'1': 2.09, 'X': 3.29, '2': 3.694, '1X': 1.271, 'X2': 1.71, '12': 1.3}"
61,Hoffenheim,Schalke 04,40100,classic,Bundesliga,1,Germany,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T17:30:00,2018-12-01T15:13:15.273000,"{'1': 1.781, 'X': 3.933, '2': 4.2, '1X': 1.22, 'X2': 2.003, '12': 1.234}"
62,Ascoli,Spezia,40117,classic,Serie B,1X,Italy,won,UEFA,TRUE,2018 - 2019,03-Jan,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 2.513, 'X': 2.867, '2': 2.981, '1X': 1.346, 'X2': 1.489, '12': 1.361}"
63,Getafe,Espanyol,40130,classic,Primera Division,1X,Spain,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T17:30:00,2018-12-01T15:13:15.273000,"{'1': 2.347, 'X': 3.038, '2': 3.405, '1X': 1.312, 'X2': 1.587, '12': 1.365}"
64,Barcelona B,Valencia Mestalla,40140,classic,Segunda Division B Group 3,1X,Spain,won,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 1.803, 'X': 3.178, '2': 4.077, '1X': 1.183, 'X2': 1.812, '12': 1.28}"
65,AEL Limassol,Omonia Nicosia,40163,classic,First Division,12,Cyprus,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T17:00:00,2018-12-01T15:13:15.273000,"{'1': 1.995, 'X': 3.287, '2': 3.303, '1X': 1.298, 'X2': 1.685, '12': 1.273}"
66,PAS Giannina,OFI Crete,40169,classic,Super League,1X,Greece,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T17:30:00,2018-12-01T15:13:15.273000,"{'1': 1.959, 'X': 3.013, '2': 4.287, '1X': 1.194, 'X2': 1.76, '12': 1.34}"
67,Thun,St. Gallen,40250,classic,Swiss Super League,12,Switzerland,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T18:00:00,2018-12-01T15:13:15.273000,"{'1': 1.897, 'X': 3.764, '2': 3.517, '1X': 1.273, 'X2': 1.83, '12': 1.234}"
68,Guingamp,Nice,40092,classic,Ligue 1,1X,France,won,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T19:00:00,2018-12-01T15:13:15.273000,"{'1': 2.779, 'X': 3.113, '2': 2.661, '1X': 1.461, 'X2': 1.436, '12': 1.33}"
